company,ema100,ema300,action
3MINDIA,20439.28706062625,20230.881144261355,buy
AARTIIND,1017.7820418930675,935.8306503126995,buy
AAVAS,1370.8341627318546,1410.0115684932337,sell
ABB,922.1395655444742,1037.7657683810044,sell
ABBOTINDIA,16247.90917405688,14785.870874737562,buy
ABCAPITAL,59.72612425650829,67.69073033254068,sell
ABFRL,131.9190629388607,159.18896488900515,sell
ACC,1360.88178228175,1346.4517131569646,buy
ADANIGAS,157.57640241459447,142.72898782994474,buy
ADANIGREEN,364.7874457960636,254.06168852442403,buy
ADANIPORTS,336.35639595116265,337.3412980899377,sell
ADANIPOWER,37.018682149485386,41.97181784358101,sell
ADANITRANS,246.97730234432188,241.01445905849164,buy
ADVENZYMES,197.95797194316975,172.4901057170538,buy
AEGISCHEM,193.92783785841186,188.3773770321234,buy
AFFLE,1993.3851030452602,1645.2589598404193,buy
AIAENG,1692.4065726723245,1652.2859044396375,buy
AJANTPHARM,1549.6136999843432,1365.2823767808206,buy
AKZOINDIA,1965.889085454863,1950.4371349480368,buy
ALKEM,2678.0160327275025,2422.9235331391365,buy
ALKYLAMINE,2600.859051568566,1858.1175281599005,buy
ALLCARGO,99.02255632220242,92.44051572942271,buy
AMARAJABAT,706.1259670037148,669.3170851587236,buy
AMBER,1624.2929904578566,1350.0787290118383,buy
