company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly,ema50,ema200,ratio,outcome,action
ADANIGREEN,07-01-2019,41.099998474121094,03-01-2020,192.60000610351562,368.61317093427044,03-12-2019,106.69999694824219,03-01-2020,192.60000610351562,36.37210060006435,127.85203691004654,79.08535105580528,47.13182700681289,far away,buy
AAVAS,07-01-2019,840.6500244140625,03-01-2020,2039.9000244140625,142.65746329287072,03-12-2019,1723.25,03-01-2020,2039.9000244140625,10.910661593168003,1793.9495471651499,1531.272700870509,15.799055022551626,far away,buy
NAM-INDIA,07-01-2019,156.25,03-01-2020,354.3500061035156,126.78400390624999,03-12-2019,377.6000061035156,03-01-2020,354.3500061035156,-0.11071723275120071,337.9997310607271,275.6496833910206,20.321064829960562,far away,buy
GRSE,07-01-2019,95.44999694824219,03-01-2020,205.0500030517578,114.82452551878683,03-12-2019,221.60000610351562,03-01-2020,205.0500030517578,1.16563834093093,199.14397335430488,158.93929242743678,22.455492768753725,far away,buy
HDFCAMC,07-01-2019,1507.3499755859375,03-01-2020,3190.300048828125,111.64959037386062,03-12-2019,3707.800048828125,03-01-2020,3190.300048828125,-5.2953647473174215,3148.383441138468,2526.8842653729325,21.90202146948843,far away,buy
CREDITACC,07-01-2019,382.54998779296875,03-01-2020,761.9000244140625,99.1635207753276,03-12-2019,750.4500122070312,03-01-2020,761.9000244140625,-4.219419050977291,746.8587022889307,616.7374142737586,19.085018860742682,far away,buy
DIXON,07-01-2019,2007.9000244140625,03-01-2020,3952.300048828125,96.83749194542042,03-12-2019,3177.0,03-01-2020,3952.300048828125,14.013691111664484,3429.452265250953,2845.3784530721273,18.616400613749683,far away,buy
GUJGASLTD,07-01-2019,131.39999389648438,03-01-2020,250.64999389648438,90.7534288730211,03-12-2019,194.60000610351562,03-01-2020,250.64999389648438,12.084690116120832,216.72742928441386,184.2622917932645,16.19250359031539,far away,buy
MANAPPURAM,07-01-2019,94.44999694824219,03-01-2020,176.9499969482422,87.34780589268765,03-12-2019,160.5500030517578,03-01-2020,176.9499969482422,10.125138154790282,164.2102373062485,139.47815009561916,16.287805682804482,far away,buy
JKCEMENT,07-01-2019,713.7000122070312,03-01-2020,1280.050048828125,79.35407411157588,03-12-2019,1162.800048828125,03-01-2020,1280.050048828125,7.953090196032608,1151.7788346239345,1029.9474992116288,11.168342566422728,far away,buy
AFFLE,08-08-2019,873.6500244140625,03-01-2020,1562.449951171875,78.84163080288073,03-12-2019,1689.1500244140625,03-01-2020,1562.449951171875,3.965870025338969,1441.2758917900585,1429.6238771836415,0.8117325956372469,far away,buy
ASTRAZEN,07-01-2019,1468.449951171875,03-01-2020,2568.5,74.91232833303214,03-12-2019,2626.699951171875,03-01-2020,2568.5,-5.755466507315276,2607.8460677056933,2223.1685610779764,15.925329819362158,far away,buy
ABBOTINDIA,07-01-2019,7574.2001953125,03-01-2020,13248.2001953125,74.91220001699335,03-12-2019,12573.400390625,03-01-2020,13248.2001953125,2.5987419795916678,12436.49189837123,10236.342369376025,19.40780321518938,far away,buy
DEEPAKNTR,07-01-2019,221.25,03-01-2020,386.45001220703125,74.66667218396891,03-12-2019,345.95001220703125,03-01-2020,386.45001220703125,9.6474161762109,349.7279749685117,306.99834520680525,13.012918303715782,far away,buy
ADANITRANS,07-01-2019,199.8000030517578,03-01-2020,346.54998779296875,73.44843968956079,03-12-2019,263.3500061035156,03-01-2020,346.54998779296875,7.226242744493838,306.32514590407317,252.98667879653635,19.07289091772305,far away,buy
SRF,07-01-2019,1997.8499755859375,03-01-2020,3452.64990234375,72.8182768744256,03-12-2019,3124.050048828125,03-01-2020,3452.64990234375,5.4379621733504635,3207.042050779078,2831.8986190385654,12.42414695727888,far away,buy
ADANIGAS,07-01-2019,101.6500015258789,03-01-2020,174.5,71.66748389627355,03-12-2019,146.25,03-01-2020,174.5,8.707591363281452,153.99024338580318,145.31790901399773,5.794920253439256,far away,buy
BALRAMCHIN,07-01-2019,108.0,03-01-2020,184.6999969482422,71.01851569281683,03-12-2019,142.39999389648438,03-01-2020,184.6999969482422,13.261480038836314,165.65234177112396,146.6530732446036,12.167107973816949,far away,buy
MCX,07-01-2019,724.1500244140625,03-01-2020,1237.550048828125,70.89691460405241,03-12-2019,1143.5,03-01-2020,1237.550048828125,4.008199604846752,1131.321539291941,972.0874770723361,15.140570472103374,far away,buy
NH,07-01-2019,196.3000030517578,03-01-2020,328.3500061035156,67.26948599024757,03-12-2019,299.1499938964844,03-01-2020,328.3500061035156,7.392106039657764,295.2918640738649,255.62164087672014,14.401615803810442,far away,buy
